cvsin_type_1
Start(mV):	6.000000e+02
End(mV):	6.000000e+02
Max(mV):	6.000000e+02
Min(mV):	-1.000000e+02
Freq(Hz):	6.005168e+01
Amp(mV):	2.000000e+01
Type(0-4):	0
Rate(mV/s):	1.043081e+02
Direction:	a
Scans:	1
Average:	1
Gain(0-4):	1
Initial(mV):	6.000000e+02
Initial(ms):	5.000000e+03
Pre(mV):	0.000000e+00
Pre(ms):	0.000000e+00
Post(mV):	0.000000e+00
Post(ms):	0.000000e+00
5.902349e-01	4.622321e-06	4.915200e-02
5.934381e-01	5.098919e-06	4.956160e-02
5.963234e-01	5.232627e-06	4.997120e-02
5.995355e-01	5.377771e-06	5.038080e-02
6.022477e-01	5.402482e-06	5.079040e-02
6.052381e-01	5.304410e-06	5.120000e-02
6.075311e-01	5.007510e-06	5.160960e-02
6.099668e-01	4.851658e-06	5.201920e-02
6.117098e-01	4.331922e-06	5.242880e-02
6.134135e-01	3.909212e-06	5.283840e-02
6.142662e-01	3.265416e-06	5.324800e-02
6.151186e-01	2.686105e-06	5.365760e-02
6.150372e-01	1.895459e-06	5.406720e-02
6.148916e-01	1.265249e-06	5.447680e-02
6.139112e-01	4.901381e-07	5.488640e-02
6.128109e-01	-2.636922e-07	5.529600e-02
6.109354e-01	-9.810326e-07	5.570560e-02
6.091036e-01	-1.628153e-06	5.611520e-02
6.064687e-01	-2.297239e-06	5.652480e-02
6.040161e-01	-2.794001e-06	5.693440e-02
6.008747e-01	-3.375975e-06	5.734400e-02
5.980153e-01	-3.650019e-06	5.775360e-02
5.946912e-01	-4.001407e-06	5.816320e-02
5.917510e-01	-4.074482e-06	5.857280e-02
5.885254e-01	-4.264103e-06	5.898240e-02
5.857983e-01	-4.092881e-06	5.939200e-02
5.829195e-01	-4.006523e-06	5.980160e-02
5.806875e-01	-3.673348e-06	6.021120e-02
5.784008e-01	-3.359145e-06	6.062080e-02
5.768667e-01	-2.800711e-06	6.103040e-02
5.753495e-01	-2.414380e-06	6.144000e-02
5.746878e-01	-1.569270e-06	6.184960e-02
5.741684e-01	-1.037479e-06	6.225920e-02
5.744069e-01	-1.980574e-07	6.266880e-02
5.748043e-01	4.619844e-07	6.307840e-02
5.760074e-01	1.296059e-06	6.348800e-02
5.773116e-01	1.988198e-06	6.389760e-02
5.793017e-01	2.654566e-06	6.430720e-02
5.813823e-01	3.312994e-06	6.471680e-02
5.840487e-01	3.898129e-06	6.512640e-02
5.866474e-01	4.391876e-06	6.553600e-02
5.897125e-01	4.779999e-06	6.594560e-02
5.925965e-01	5.057314e-06	6.635520e-02
5.957733e-01	5.324664e-06	6.676480e-02
5.986547e-01	5.380105e-06	6.717440e-02
6.016836e-01	5.383180e-06	6.758400e-02
6.042117e-01	5.216154e-06	6.799360e-02
6.068566e-01	5.038611e-06	6.840320e-02
6.088225e-01	4.582527e-06	6.881280e-02
6.107301e-01	4.253791e-06	6.922240e-02
6.119524e-01	3.647410e-06	6.963200e-02
6.129922e-01	3.058663e-06	7.004160e-02
6.132810e-01	2.383207e-06	7.045120e-02
6.134410e-01	1.713406e-06	7.086080e-02
6.127340e-01	8.674278e-07	7.127040e-02
6.119484e-01	2.299872e-07	7.168000e-02
6.103758e-01	-5.626782e-07	7.208960e-02
6.086904e-01	-1.218892e-06	7.249920e-02
6.063287e-01	-1.952607e-06	7.290880e-02
6.040042e-01	-2.419535e-06	7.331840e-02
6.010878e-01	-3.089099e-06	7.372800e-02
5.982527e-01	-3.390614e-06	7.413760e-02
5.951033e-01	-3.785173e-06	7.454720e-02
5.920776e-01	-4.055918e-06	7.495680e-02
5.887830e-01	-4.290576e-06	7.536640e-02
5.859452e-01	-4.118452e-06	7.577600e-02
5.829413e-01	-4.197115e-06	7.618560e-02
5.804127e-01	-3.887226e-06	7.659520e-02
5.780110e-01	-3.625987e-06	7.700480e-02
5.761586e-01	-3.174492e-06	7.741440e-02
5.744667e-01	-2.675612e-06	7.782400e-02
5.734615e-01	-2.075528e-06	7.823360e-02
5.726203e-01	-1.429581e-06	7.864320e-02
5.725415e-01	-7.390701e-07	7.905280e-02
5.726646e-01	-5.778055e-08	7.946240e-02
5.735298e-01	8.072670e-07	7.987200e-02
5.745977e-01	1.451353e-06	8.028160e-02
5.762880e-01	2.199508e-06	8.069120e-02
5.781628e-01	2.844253e-06	8.110080e-02
5.805869e-01	3.478227e-06	8.151040e-02
5.830486e-01	4.010185e-06	8.192000e-02
5.860426e-01	4.560292e-06	8.232960e-02
5.888708e-01	4.852447e-06	8.273920e-02
5.920103e-01	5.210568e-06	8.314880e-02
5.949404e-01	5.312783e-06	8.355840e-02
5.980563e-01	5.407524e-06	8.396800e-02
6.007189e-01	5.263561e-06	8.437760e-02
6.034544e-01	5.186057e-06	8.478720e-02
6.056855e-01	4.839076e-06	8.519680e-02
6.078636e-01	4.524104e-06	8.560640e-02
6.093549e-01	3.982778e-06	8.601600e-02
6.107034e-01	3.457689e-06	8.642560e-02
6.113313e-01	2.741136e-06	8.683520e-02
6.117172e-01	2.182207e-06	8.724480e-02
6.114147e-01	1.386696e-06	8.765440e-02
6.108404e-01	6.845873e-07	8.806400e-02
6.096013e-01	-1.036770e-07	8.847360e-02
6.081347e-01	-7.771556e-07	8.888320e-02
6.060997e-01	-1.475902e-06	8.929280e-02
6.039339e-01	-2.060108e-06	8.970240e-02
6.012279e-01	-2.726914e-06	9.011200e-02
5.984585e-01	-3.212180e-06	9.052160e-02
5.953802e-01	-3.566824e-06	9.093120e-02
5.923751e-01	-4.017307e-06	9.134080e-02
5.890822e-01	-4.169555e-06	9.175040e-02
5.861256e-01	-4.202335e-06	9.216000e-02
5.830271e-01	-4.261936e-06	9.256960e-02
5.803756e-01	-4.054008e-06	9.297920e-02
5.777442e-01	-3.868158e-06	9.338880e-02
5.756288e-01	-3.466506e-06	9.379840e-02
5.737084e-01	-3.019931e-06	9.420800e-02
5.723829e-01	-2.493466e-06	9.461760e-02
5.713053e-01	-1.894548e-06	9.502720e-02
5.708874e-01	-1.202152e-06	9.543680e-02
5.707111e-01	-5.175949e-07	9.584640e-02
5.712832e-01	2.909980e-07	9.625600e-02
5.720719e-01	9.283337e-07	9.666560e-02
5.734518e-01	1.742171e-06	9.707520e-02
5.750635e-01	2.406999e-06	9.748480e-02
5.773064e-01	3.108555e-06	9.789440e-02
5.796547e-01	3.664920e-06	9.830400e-02
5.824506e-01	4.253176e-06	9.871360e-02
5.852226e-01	4.596538e-06	9.912320e-02
5.883081e-01	5.000689e-06	9.953280e-02
5.912326e-01	5.177557e-06	9.994240e-02
5.943412e-01	5.342069e-06	1.003520e-01
5.971906e-01	5.348757e-06	1.007616e-01
6.000613e-01	5.212255e-06	1.011712e-01
6.024399e-01	4.998955e-06	1.015808e-01
6.047788e-01	4.725116e-06	1.019904e-01
6.065589e-01	4.283753e-06	1.024000e-01
6.081752e-01	3.822166e-06	1.028096e-01
6.091329e-01	3.188977e-06	1.032192e-01
6.098535e-01	2.637296e-06	1.036288e-01
6.098951e-01	1.868113e-06	1.040384e-01
6.095809e-01	1.139632e-06	1.044480e-01
6.087012e-01	4.216029e-07	1.048576e-01
6.075452e-01	-3.471663e-07	1.052672e-01
6.056964e-01	-1.115308e-06	1.056768e-01
6.037254e-01	-1.671520e-06	1.060864e-01
6.012290e-01	-2.385012e-06	1.064960e-01
5.985739e-01	-2.926877e-06	1.069056e-01
5.955922e-01	-3.367400e-06	1.073152e-01
5.926628e-01	-3.726157e-06	1.077248e-01
5.894124e-01	-4.071199e-06	1.081344e-01
5.864359e-01	-4.144235e-06	1.085440e-01
5.832647e-01	-4.293010e-06	1.089536e-01
5.804306e-01	-4.192422e-06	1.093632e-01
5.776678e-01	-4.020128e-06	1.097728e-01
5.753385e-01	-3.727220e-06	1.101824e-01
5.731530e-01	-3.380283e-06	1.105920e-01
5.715499e-01	-2.863425e-06	1.110016e-01
5.701752e-01	-2.397787e-06	1.114112e-01
5.694165e-01	-1.679706e-06	1.118208e-01
5.689358e-01	-1.038490e-06	1.122304e-01
5.691354e-01	-2.347838e-07	1.126400e-01
5.696784e-01	4.605371e-07	1.130496e-01
5.708200e-01	1.252023e-06	1.134592e-01
5.721812e-01	1.938774e-06	1.138688e-01
5.741353e-01	2.667825e-06	1.142784e-01
5.762851e-01	3.276283e-06	1.146880e-01
5.788772e-01	3.867281e-06	1.150976e-01
5.815527e-01	4.333939e-06	1.155072e-01
5.845867e-01	4.763016e-06	1.159168e-01
5.875188e-01	5.061568e-06	1.163264e-01
5.906504e-01	5.258842e-06	1.167360e-01
5.935265e-01	5.303079e-06	1.171456e-01
5.965301e-01	5.375411e-06	1.175552e-01
5.991465e-01	5.118909e-06	1.179648e-01
6.016298e-01	4.952347e-06	1.183744e-01
6.037243e-01	4.610143e-06	1.187840e-01
6.055220e-01	4.083391e-06	1.191936e-01
6.067638e-01	3.581064e-06	1.196032e-01
6.077688e-01	2.996183e-06	1.200128e-01
6.081441e-01	2.281463e-06	1.204224e-01
6.081437e-01	1.610529e-06	1.208320e-01
6.075290e-01	8.179641e-07	1.212416e-01
6.066254e-01	1.261147e-07	1.216512e-01
6.051258e-01	-6.109988e-07	1.220608e-01
